id,degradation,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
1868,False,10.0,59.0,326.0,2449.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1869,False,1.0,3.0,76.0,421.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1870,False,4.0,76.0,73.0,800.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1875,False,1.0,69.0,13.0,124.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1876,True,2.0,39.0,38.0,474.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1878,False,5.0,75.0,163.0,1620.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1879,False,2.0,5.0,98.0,766.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1884,False,1.0,6.0,2.0,171.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1887,False,1.0,15.0,104.0,553.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1889,True,3.0,49.0,33.0,374.0,1,0,1,0,employee,0,3,3.0,0,0.0,8
1892,True,11.0,470.0,436.0,3582.0,0,0,0,0,employee,0,0,0,0,0,0
1899,True,11.0,101.0,211.0,2293.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1905,False,4.0,219.0,57.0,1294.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1909,False,6.0,41.0,-14.0,172.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1915,False,8.0,230.0,22.0,133.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1918,False,1.0,14.0,5.0,10.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1919,False,2.0,25.0,207.0,1474.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1926,False,1.0,2.0,0.0,13.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1927,True,27.0,562.0,200.0,3170.0,0,0,0,0,employee,0,0,0,0,0,0
