id,degradation,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
8250,False,9.0,252.0,668.0,4669.0,7,0,1,1,employee,0,55,7.857142857142857,0,0.0,0
8252,False,4.0,12.0,113.0,706.0,2,0,1,1,employee,0,10,5.0,0,0.0,0
8266,False,2.0,20.0,103.0,671.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
8270,True,12.0,483.0,252.0,2806.0,2,0,1,1,employee,0,12,6.0,0,0.5,2
8276,True,8.0,609.0,526.0,3757.0,6,0,1,1,employee,0,120,20.0,0,0.5,5
8279,True,93.0,1290.0,1926.0,14901.0,9,0,1,2,employee,1,190,21.11111111111111,302,0.0,5
8286,False,9.0,523.0,129.0,1117.0,2,0,0,2,employee,0,42,21.0,0,0.0,0
8291,False,7.0,18.0,83.0,863.0,3,0,0,2,employee,0,26,8.666666666666666,0,0.6666666666666666,4
8297,False,1.0,33.0,35.0,330.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
8299,True,17.0,1070.0,806.0,6065.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
8303,False,1.0,3.0,27.0,167.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
8304,False,2.0,39.0,68.0,496.0,2,0,1,1,employee,1,48,24.0,153,0.0,0
8306,False,1.0,2.0,41.0,328.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
8327,False,4.0,213.0,365.0,2710.0,7,0,0,2,employee,0,48,6.857142857142857,0,0.0,0
8341,True,2.0,145.0,165.0,1390.0,2,0,1,0,employee,0,11,5.5,0,5.5,13
8350,False,5.0,287.0,259.0,2002.0,5,0,1,1,employee,0,24,4.8,0,0.2,1
8352,False,3.0,14.0,159.0,674.0,14,0,4,1,employee,0,295,21.071428571428573,0,17.285714285714285,245
8358,False,2.0,40.0,294.0,2058.0,4,0,1,1,employee,0,29,7.25,0,0.0,11
8363,False,2.0,902.0,55.0,686.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
8366,False,33.0,395.0,1351.0,10787.0,4,0,2,0,employee,0,19,4.75,0,0.0,0
8372,False,1.0,10.0,11.0,128.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
8379,False,2.0,41.0,143.0,757.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
8380,True,7.0,293.0,220.0,1403.0,2,0,2,0,employee,0,7,3.5,0,0.0,3
8381,True,2.0,162.0,236.0,1478.0,3,0,1,1,employee,0,47,15.666666666666666,0,18.666666666666668,59
8383,False,1.0,13.0,3.0,61.0,8,0,1,2,employee,0,51,6.375,0,1.125,11
8385,False,1.0,21.0,173.0,1096.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
8407,False,2.0,105.0,291.0,1896.0,2,0,2,0,employee,0,6,3.0,0,0.0,0
8408,False,3.0,160.0,60.0,483.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
8414,False,3.0,85.0,48.0,387.0,3,0,1,1,employee,0,14,4.666666666666667,0,0.0,0
8415,False,1.0,8.0,48.0,390.0,2,0,0,2,employee,0,12,6.0,0,5.5,2
8421,True,54.0,1239.0,1741.0,22368.0,7,0,2,1,employee,1,279,39.857142857142854,1300,1.8571428571428572,14
8435,False,1.0,91.0,3.0,27.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
8436,True,35.0,1748.0,1812.0,13718.0,16,0,1,3,employee,0,334,20.875,0,0.0625,5
8439,False,1.0,15.0,50.0,346.0,1,0,1,0,employee,0,6,6.0,0,0.0,3
8464,False,1.0,2.0,12.0,140.0,2,0,0,2,employee,0,4,2.0,0,0.0,0
8475,False,10.0,159.0,276.0,2065.0,5,0,1,2,employee,0,43,8.6,0,1.8,5
8494,False,16.0,130.0,998.0,6739.0,7,0,1,2,employee,0,36,5.142857142857143,0,0.14285714285714285,1
8519,False,1.0,22.0,277.0,1737.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
8536,False,33.0,676.0,813.0,6941.0,7,0,2,3,employee,0,94,13.428571428571429,0,37.714285714285715,1
8545,True,4.0,246.0,290.0,3390.0,4,0,1,1,employee,0,18,4.5,0,1.25,5
8551,False,2.0,27.0,150.0,1226.0,3,0,1,1,employee,0,38,12.666666666666666,0,0.0,0
8555,True,4.0,347.0,90.0,1049.0,3,0,1,1,employee,0,21,7.0,0,0.0,0
8569,True,7.0,287.0,325.0,2202.0,4,0,1,1,employee,0,53,13.25,0,0.0,0
8579,False,4.0,48.0,347.0,2391.0,3,0,1,1,employee,0,15,5.0,0,0.0,0
8584,False,2.0,14.0,85.0,684.0,2,0,2,0,employee,0,4,2.0,0,0.0,0
8609,False,4.0,311.0,299.0,1944.0,4,0,2,0,employee,0,20,5.0,0,0.25,2
8610,False,2.0,33.0,152.0,997.0,3,0,1,1,employee,0,16,5.333333333333333,0,0.0,1
8611,True,32.0,859.0,1329.0,10873.0,6,0,1,1,employee,0,30,5.0,0,0.16666666666666666,2
8634,True,3.0,55.0,102.0,1093.0,5,0,0,2,employee,0,28,5.6,0,0.0,2
8641,False,1.0,11.0,88.0,558.0,1,0,1,0,employee,0,2,2.0,0,0.0,1
8653,False,1.0,18.0,18.0,140.0,3,0,0,2,employee,0,13,4.333333333333333,0,0.0,1
8666,False,61.0,2463.0,2902.0,22164.0,10,0,2,3,employee,0,70,7.0,0,0.4,6
8667,False,23.0,512.0,1153.0,18935.0,7,0,1,2,employee,0,115,16.428571428571427,0,0.42857142857142855,4
8685,False,1.0,2.0,66.0,487.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
8715,False,4.0,130.0,199.0,1553.0,11,0,2,1,employee,0,201,18.272727272727273,0,19.545454545454547,218
8723,False,6.0,288.0,451.0,3262.0,5,0,1,1,employee,0,33,6.6,0,0.0,0
8739,True,4.0,18.0,366.0,2564.0,1,0,0,1,employee,0,22,22.0,0,0.0,0
8743,False,2.0,4.0,38.0,407.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
8745,False,1.0,19.0,30.0,272.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
8749,False,1.0,4.0,12.0,105.0,4,1,2,1,employee,2,212,53.0,1033,13.75,0
8750,True,3.0,73.0,58.0,702.0,5,0,1,2,employee,0,32,6.4,0,0.0,5
8753,True,11.0,251.0,128.0,980.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
