project,review_number,pull_request_number,commit,parent,before_total_density_high_level_smells,after_total_density_high_level_smells,before_total_density_low_level_smells,after_total_density_low_level_smells,before_total_diversity_high_level_smells,after_total_diversity_high_level_smells,before_total_diversity_low_level_smells,after_total_diversity_low_level_smells,diff_density_high_level_smells,diff_density_low_level_smells,diff_diversity_high_level_smells,diff_diversity_low_level_smells,impact_on_density_high_level_smells,impact_on_density_low_level_smells,impact_on_diversity_high_level_smells,impact_on_diversity_low_level_smells
presto,c5a2258b1d44255deb260e5c1a8dd350309068ffd725e4c654270636bc7de92cc6d74683b1de29fe,5053,c5a2258b1d44255deb260e5c1a8dd350309068ff,d725e4c654270636bc7de92cc6d74683b1de29fe,2276.0,2277.0,23190.0,23196.0,12.0,12.0,9,9,1.0,6.0,0.0,0,negative,negative,invariant,invariant
presto,747603c9539bf8d20b625e597d392bc1538a983c1cb3c109a5c11edccc1ddcf1e02741244786b1c2,5053,747603c9539bf8d20b625e597d392bc1538a983c,1cb3c109a5c11edccc1ddcf1e02741244786b1c2,2277.0,2277.0,23325.0,23325.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,82fa6ba5850436bb3ceb90b0c3ad7d875fc6c8f81cefbf761320a99993d550be86214580000caaf9,5054,82fa6ba5850436bb3ceb90b0c3ad7d875fc6c8f8,1cefbf761320a99993d550be86214580000caaf9,2278.0,2278.0,23190.0,23190.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,c9d6b954fbd7d240c6c096ba1e36fdf92bb786b6747603c9539bf8d20b625e597d392bc1538a983c,5055,c9d6b954fbd7d240c6c096ba1e36fdf92bb786b6,747603c9539bf8d20b625e597d392bc1538a983c,2277.0,2277.0,23325.0,23328.0,12.0,12.0,9,9,0.0,3.0,0.0,0,invariant,negative,invariant,invariant
presto,2550e5ecb1c46c686be452f0e541628f8b4102b23b997675e7d29feb02bedb40d9c4b248a170ad9e,5059,2550e5ecb1c46c686be452f0e541628f8b4102b2,3b997675e7d29feb02bedb40d9c4b248a170ad9e,2276.0,2276.0,23190.0,23190.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,214f0812618871d1d925ee2c7452d5e524f9b3352550e5ecb1c46c686be452f0e541628f8b4102b2,5059,214f0812618871d1d925ee2c7452d5e524f9b335,2550e5ecb1c46c686be452f0e541628f8b4102b2,2276.0,2276.0,23190.0,23190.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,549aee781dec587b62d4fd5255cf161be16445b7214f0812618871d1d925ee2c7452d5e524f9b335,5060,549aee781dec587b62d4fd5255cf161be16445b7,214f0812618871d1d925ee2c7452d5e524f9b335,2276.0,2276.0,23190.0,23190.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,d22df7c325f6717f749972697d8825d1ba944140668a898e9f85cb0e679fc49d5fed4ad7a58eba7e,5061,d22df7c325f6717f749972697d8825d1ba944140,668a898e9f85cb0e679fc49d5fed4ad7a58eba7e,2275.0,2275.0,23325.0,23326.0,12.0,12.0,9,9,0.0,1.0,0.0,0,invariant,negative,invariant,invariant
presto,b6033fde5403c3a4863795054d4747aab7f198e9d22df7c325f6717f749972697d8825d1ba944140,5061,b6033fde5403c3a4863795054d4747aab7f198e9,d22df7c325f6717f749972697d8825d1ba944140,2275.0,2275.0,23326.0,23328.0,12.0,12.0,9,9,0.0,2.0,0.0,0,invariant,negative,invariant,invariant
presto,b5fe1b25e044a49e6218f69278c1070600b609abc9d6b954fbd7d240c6c096ba1e36fdf92bb786b6,5066,b5fe1b25e044a49e6218f69278c1070600b609ab,c9d6b954fbd7d240c6c096ba1e36fdf92bb786b6,2277.0,2277.0,23328.0,23328.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,7c808b6a92bc019eaebab83adbe7d137a6e3a8a777b8434ff89584c7ad77eba9ede225301efb91c6,5067,7c808b6a92bc019eaebab83adbe7d137a6e3a8a7,77b8434ff89584c7ad77eba9ede225301efb91c6,2314.0,2315.0,23441.0,23461.0,12.0,12.0,9,9,1.0,20.0,0.0,0,negative,negative,invariant,invariant
presto,9dc8dd383345740bd20a44cbb864e6ac0ae4942639f65662ab3949fe8994763273c96a2edc489bf4,5069,9dc8dd383345740bd20a44cbb864e6ac0ae49426,39f65662ab3949fe8994763273c96a2edc489bf4,2275.0,2275.0,23325.0,23325.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,6d87090da26efdf380b9db39ccfdaaeeaa25054e9dc8dd383345740bd20a44cbb864e6ac0ae49426,5069,6d87090da26efdf380b9db39ccfdaaeeaa25054e,9dc8dd383345740bd20a44cbb864e6ac0ae49426,2275.0,2275.0,23325.0,23325.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,1cdb276eccf6e40bda70153d2ccd65aa5aacfe7a6d87090da26efdf380b9db39ccfdaaeeaa25054e,5069,1cdb276eccf6e40bda70153d2ccd65aa5aacfe7a,6d87090da26efdf380b9db39ccfdaaeeaa25054e,2275.0,2275.0,23325.0,23325.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,cec1a558602ec4755e4d930bafba922a09366a81b6033fde5403c3a4863795054d4747aab7f198e9,5071,cec1a558602ec4755e4d930bafba922a09366a81,b6033fde5403c3a4863795054d4747aab7f198e9,2275.0,2275.0,23328.0,23328.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,d06fe75c1551639f5bc96e86b22038b15f5968437b0d0e02536bcb485b6e0c9a3c6959fa8cb67491,5073,d06fe75c1551639f5bc96e86b22038b15f596843,7b0d0e02536bcb485b6e0c9a3c6959fa8cb67491,2319.0,2319.0,23988.0,23991.0,12.0,12.0,9,9,0.0,3.0,0.0,0,invariant,negative,invariant,invariant
presto,45484b163f343d8cf4b191efe35851e92ffe41abcec1a558602ec4755e4d930bafba922a09366a81,5074,45484b163f343d8cf4b191efe35851e92ffe41ab,cec1a558602ec4755e4d930bafba922a09366a81,2275.0,2275.0,23328.0,23332.0,12.0,12.0,9,9,0.0,4.0,0.0,0,invariant,negative,invariant,invariant
presto,3847d03a4ac7e7f4e52bca451ddb5089a740207245484b163f343d8cf4b191efe35851e92ffe41ab,5077,3847d03a4ac7e7f4e52bca451ddb5089a7402072,45484b163f343d8cf4b191efe35851e92ffe41ab,2275.0,2275.0,23332.0,23332.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,42ab47659940f4b62268ad5cd9316743825619c83847d03a4ac7e7f4e52bca451ddb5089a7402072,5081,42ab47659940f4b62268ad5cd9316743825619c8,3847d03a4ac7e7f4e52bca451ddb5089a7402072,2275.0,2275.0,23332.0,23332.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,da09aaf32186a302ecc4a3ea7c5ce2dc4e15f38ebbaaecbb5a89296dfa338d48cbcafdca614f3a91,5083,da09aaf32186a302ecc4a3ea7c5ce2dc4e15f38e,bbaaecbb5a89296dfa338d48cbcafdca614f3a91,2275.0,2275.0,23332.0,23332.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,803db35df43865c8cee58e73560ff0d1639982c2723c1d3c6d5d7ac156f79603a18ecbb0d09228c6,5084,803db35df43865c8cee58e73560ff0d1639982c2,723c1d3c6d5d7ac156f79603a18ecbb0d09228c6,2275.0,2275.0,23332.0,23332.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,329336de40b4c8a672ed3cde6e11fb51eb78bfba58ae1f4c86cd9da8bc2210ca0376241480f7a4a0,5087,329336de40b4c8a672ed3cde6e11fb51eb78bfba,58ae1f4c86cd9da8bc2210ca0376241480f7a4a0,2276.0,2278.0,23334.0,23334.0,12.0,12.0,9,9,2.0,0.0,0.0,0,negative,invariant,invariant,invariant
presto,2adf25a6baf69f36222d8165f89a25594ef574c98611b7e85ee4f56c0988ceed09bc75c3be5a48e0,5094,2adf25a6baf69f36222d8165f89a25594ef574c9,8611b7e85ee4f56c0988ceed09bc75c3be5a48e0,2313.0,2313.0,23435.0,23435.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,0e5d12473ac01e7c39689e96cb7b0bd2233236cf2adf25a6baf69f36222d8165f89a25594ef574c9,5095,0e5d12473ac01e7c39689e96cb7b0bd2233236cf,2adf25a6baf69f36222d8165f89a25594ef574c9,2313.0,2313.0,23435.0,23435.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,0a10c25a595c6df31ac50d7a35d0bd8440d71d794ab4a66faeae0281932a4ce2771506cfd75838b8,5098,0a10c25a595c6df31ac50d7a35d0bd8440d71d79,4ab4a66faeae0281932a4ce2771506cfd75838b8,2313.0,2313.0,23435.0,23433.0,12.0,12.0,9,9,0.0,-2.0,0.0,0,invariant,positive,invariant,invariant
presto,11305945244534ec9d9c3e8fee189b5eaa95d8290a10c25a595c6df31ac50d7a35d0bd8440d71d79,5098,11305945244534ec9d9c3e8fee189b5eaa95d829,0a10c25a595c6df31ac50d7a35d0bd8440d71d79,2313.0,2313.0,23433.0,23431.0,12.0,12.0,9,9,0.0,-2.0,0.0,0,invariant,positive,invariant,invariant
presto,c73b3e434b2ba1998116f6d994032802ecdd143c310419c6daea71fe394b3bf67013c3b9d73f472b,5101,c73b3e434b2ba1998116f6d994032802ecdd143c,310419c6daea71fe394b3bf67013c3b9d73f472b,2315.0,2315.0,23464.0,23464.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,b69c29ab6a4a89bb049ef8717086bf56acd76ee3c73b3e434b2ba1998116f6d994032802ecdd143c,5101,b69c29ab6a4a89bb049ef8717086bf56acd76ee3,c73b3e434b2ba1998116f6d994032802ecdd143c,2315.0,2315.0,23464.0,23464.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,5c2ad50f1f5e7b760d746a59f9f3f010e5c83fa4b69c29ab6a4a89bb049ef8717086bf56acd76ee3,5101,5c2ad50f1f5e7b760d746a59f9f3f010e5c83fa4,b69c29ab6a4a89bb049ef8717086bf56acd76ee3,2315.0,2315.0,23464.0,23464.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,dbb15a69b5a8963398d82c679682b24216a5723f5c2ad50f1f5e7b760d746a59f9f3f010e5c83fa4,5101,dbb15a69b5a8963398d82c679682b24216a5723f,5c2ad50f1f5e7b760d746a59f9f3f010e5c83fa4,2315.0,2315.0,23464.0,23458.0,12.0,12.0,9,9,0.0,-6.0,0.0,0,invariant,positive,invariant,invariant
presto,b22802770da13f030eba25450900399005b29f34ea8a8de5b19823c17b2793a74c4ab9cd034ebbff,5103,b22802770da13f030eba25450900399005b29f34,ea8a8de5b19823c17b2793a74c4ab9cd034ebbff,2458.0,2458.0,26295.0,26295.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
