project,review_number,pull_request_number,commit,parent,before_total_density_high_level_smells,after_total_density_high_level_smells,before_total_density_low_level_smells,after_total_density_low_level_smells,before_total_diversity_high_level_smells,after_total_diversity_high_level_smells,before_total_diversity_low_level_smells,after_total_diversity_low_level_smells,diff_density_high_level_smells,diff_density_low_level_smells,diff_diversity_high_level_smells,diff_diversity_low_level_smells,impact_on_density_high_level_smells,impact_on_density_low_level_smells,impact_on_diversity_high_level_smells,impact_on_diversity_low_level_smells
okhttp,f27e8b408b24b17ac6f0f357cb7f92f55329d006e41424d00eef3645a37cbe772fdeb4a591ef3510,4040,f27e8b408b24b17ac6f0f357cb7f92f55329d006,e41424d00eef3645a37cbe772fdeb4a591ef3510,365.0,365,4425.0,4425,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,84d24fa538d51cbc96c39afe0b1940d6010e16661523d2561453c162150e5cedc556de866363761f,4046,84d24fa538d51cbc96c39afe0b1940d6010e1666,1523d2561453c162150e5cedc556de866363761f,365.0,365,4425.0,4425,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,fd1e5551fdc3f2effa333b56123cddfb454aead01523d2561453c162150e5cedc556de866363761f,4057,fd1e5551fdc3f2effa333b56123cddfb454aead0,1523d2561453c162150e5cedc556de866363761f,365.0,366,4425.0,4437,9.0,9.0,9,9,1.0,12.0,0.0,0,negative,negative,invariant,invariant
okhttp,355c8b0ef12318994822b4095dcd9cdcec1e259a26e4be0f1cbfb328f22592e867219679bfff15b0,4060,355c8b0ef12318994822b4095dcd9cdcec1e259a,26e4be0f1cbfb328f22592e867219679bfff15b0,366.0,366,4437.0,4441,9.0,9.0,9,9,0.0,4.0,0.0,0,invariant,negative,invariant,invariant
okhttp,a16ec15ee08424058b26c6bd62afc98b32df98bc897103e17903e8f351569e9572186935b89dcee9,4065,a16ec15ee08424058b26c6bd62afc98b32df98bc,897103e17903e8f351569e9572186935b89dcee9,366.0,366,4437.0,4437,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,5a17198acef96906dc6698245ad3192a1b4f63841523d2561453c162150e5cedc556de866363761f,4068,5a17198acef96906dc6698245ad3192a1b4f6384,1523d2561453c162150e5cedc556de866363761f,365.0,365,4425.0,4425,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,092f9a1b4ea5633f3622090bd91492b9a39d57221523d2561453c162150e5cedc556de866363761f,4069,092f9a1b4ea5633f3622090bd91492b9a39d5722,1523d2561453c162150e5cedc556de866363761f,365.0,365,4425.0,4432,9.0,9.0,9,9,0.0,7.0,0.0,0,invariant,negative,invariant,invariant
okhttp,327de18c95ab972963190945a8b72163417d7406cb26e1cb238dc35b61dc1a6bfa1ddaf19f553287,4070,327de18c95ab972963190945a8b72163417d7406,cb26e1cb238dc35b61dc1a6bfa1ddaf19f553287,366.0,366,4441.0,4441,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,c3c95924747846ae35c728d84b4ae37503013484563d2f15ec99d7aef66736c71980e940471593c1,4072,c3c95924747846ae35c728d84b4ae37503013484,563d2f15ec99d7aef66736c71980e940471593c1,366.0,366,4441.0,4443,9.0,9.0,9,9,0.0,2.0,0.0,0,invariant,negative,invariant,invariant
okhttp,44efb0990478ee25e371549693a5a1062d74ca3fe71965586a75b3fece1ae7a5fcda9936d175983c,4078,44efb0990478ee25e371549693a5a1062d74ca3f,e71965586a75b3fece1ae7a5fcda9936d175983c,365.0,369,4425.0,4425,9.0,9.0,9,9,4.0,0.0,0.0,0,negative,invariant,invariant,invariant
okhttp,63ed542534eec2b1eb124531452a467b5541baa7f6502e89f9bb96c4b76800c5245170a76b60e60c,4088,63ed542534eec2b1eb124531452a467b5541baa7,f6502e89f9bb96c4b76800c5245170a76b60e60c,378.0,378,4454.0,4454,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,0d04eecc01864d7185722c9cce0ba364bf068422171460b8a8b825b567b98e545e7db78279aa95ff,4090,0d04eecc01864d7185722c9cce0ba364bf068422,171460b8a8b825b567b98e545e7db78279aa95ff,378.0,378,4454.0,4454,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,e983dd2ae0fec1fef4eb9b08584cc2c852b47114caba1ef45f95de156e28be00d69fea46d98079dd,4096,e983dd2ae0fec1fef4eb9b08584cc2c852b47114,caba1ef45f95de156e28be00d69fea46d98079dd,374.0,374,4445.0,4509,9.0,9.0,9,9,0.0,64.0,0.0,0,invariant,negative,invariant,invariant
okhttp,e41f2cb1d8bca45f92e47cf6d62c940d503cfa3a0d04eecc01864d7185722c9cce0ba364bf068422,4115,e41f2cb1d8bca45f92e47cf6d62c940d503cfa3a,0d04eecc01864d7185722c9cce0ba364bf068422,378.0,378,4454.0,4454,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,36f4fd04f74323c137ca6ac1b464e9f5f04f33bfd45f517f1f4020ca0125f20ea52d3414c319a1d4,4116,36f4fd04f74323c137ca6ac1b464e9f5f04f33bf,d45f517f1f4020ca0125f20ea52d3414c319a1d4,383.0,384,4572.0,4575,9.0,9.0,9,9,1.0,3.0,0.0,0,negative,negative,invariant,invariant
okhttp,aac684aeae32ff18e443799a3ccff6de9d68a684bdbe2dad8806a77bf018b87f4518df250fa67f89,4117,aac684aeae32ff18e443799a3ccff6de9d68a684,bdbe2dad8806a77bf018b87f4518df250fa67f89,383.0,383,4569.0,4565,9.0,9.0,9,9,0.0,-4.0,0.0,0,invariant,positive,invariant,invariant
okhttp,351b3d6bf786e001f80ab3a7a933d4279cafbf8336f4fd04f74323c137ca6ac1b464e9f5f04f33bf,4118,351b3d6bf786e001f80ab3a7a933d4279cafbf83,36f4fd04f74323c137ca6ac1b464e9f5f04f33bf,384.0,385,4575.0,4584,9.0,9.0,9,9,1.0,9.0,0.0,0,negative,negative,invariant,invariant
okhttp,9745e15d275e64140203c31a4b69a41feabe65c1bdbe2dad8806a77bf018b87f4518df250fa67f89,4120,9745e15d275e64140203c31a4b69a41feabe65c1,bdbe2dad8806a77bf018b87f4518df250fa67f89,383.0,383,4569.0,4570,9.0,9.0,9,9,0.0,1.0,0.0,0,invariant,negative,invariant,invariant
okhttp,d908a676c25b6b3d547b45a9970f4bfb7a358010dd720d260a7073b66e38d73f3956706c5c7a0b84,4124,d908a676c25b6b3d547b45a9970f4bfb7a358010,dd720d260a7073b66e38d73f3956706c5c7a0b84,384.0,384,4572.0,4574,9.0,9.0,9,9,0.0,2.0,0.0,0,invariant,negative,invariant,invariant
okhttp,f5905f4ef3818d8f211e6ecee9892709a28206d1ce78c4cc22bf330c2d3e7d70f3427568ffc731fc,4127,f5905f4ef3818d8f211e6ecee9892709a28206d1,ce78c4cc22bf330c2d3e7d70f3427568ffc731fc,387.0,387,4593.0,4595,9.0,9.0,9,9,0.0,2.0,0.0,0,invariant,negative,invariant,invariant
okhttp,31c511f6947ccdd4bdad4e1232606d399a8647de44c2696932272b95d484298fa247b68734349330,4130,31c511f6947ccdd4bdad4e1232606d399a8647de,44c2696932272b95d484298fa247b68734349330,385.0,385,4583.0,4582,9.0,9.0,9,9,0.0,-1.0,0.0,0,invariant,positive,invariant,invariant
okhttp,b1bfe7130cb0163736ea118bb779c66d04fa8a0935247e9fccb81666dd850bf8b5c67ec32673526c,4133,b1bfe7130cb0163736ea118bb779c66d04fa8a09,35247e9fccb81666dd850bf8b5c67ec32673526c,385.0,385,4582.0,4582,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,c71ef59a908df3eab353297b3053be16dc07e055dfc82db14cd0c3d603593a5c09cb92c3708052fc,4136,c71ef59a908df3eab353297b3053be16dc07e055,dfc82db14cd0c3d603593a5c09cb92c3708052fc,386.0,386,4586.0,4570,9.0,9.0,9,9,0.0,-16.0,0.0,0,invariant,positive,invariant,invariant
okhttp,db2ae92156242255a0d42caaf50c7801e79de91767f786d984a79dc7ef60236a04503c1706cb872b,4137,db2ae92156242255a0d42caaf50c7801e79de917,67f786d984a79dc7ef60236a04503c1706cb872b,385.0,386,4582.0,4586,9.0,9.0,9,9,1.0,4.0,0.0,0,negative,negative,invariant,invariant
okhttp,8ba6323b7e5980afce86c62caa9c8d65772c05e373e410a40085c33e8d9900cd8c33ac896c2a2a9e,4139,8ba6323b7e5980afce86c62caa9c8d65772c05e3,73e410a40085c33e8d9900cd8c33ac896c2a2a9e,386.0,387,4570.0,4582,9.0,9.0,9,9,1.0,12.0,0.0,0,negative,negative,invariant,invariant
okhttp,7a29af6d95f961e1861f54b03525938ce1f5c0d7b0ac074437ac9c168274120e272cd4b29538a468,4142,7a29af6d95f961e1861f54b03525938ce1f5c0d7,b0ac074437ac9c168274120e272cd4b29538a468,387.0,389,4582.0,4586,9.0,9.0,9,9,2.0,4.0,0.0,0,negative,negative,invariant,invariant
okhttp,137e7de0454f10160370f105ac7d9d2fc5403c8437887141fe8cc398eff35dc4fbe74c9b4bcdc26c,4144,137e7de0454f10160370f105ac7d9d2fc5403c84,37887141fe8cc398eff35dc4fbe74c9b4bcdc26c,387.0,387,4592.0,4593,9.0,9.0,9,9,0.0,1.0,0.0,0,invariant,negative,invariant,invariant
okhttp,c07b8fddc9c2da9744e112aec54e1a5c3b957bb62f1be26582909b25a4ec19054a67c6047b0a0359,4146,c07b8fddc9c2da9744e112aec54e1a5c3b957bb6,2f1be26582909b25a4ec19054a67c6047b0a0359,389.0,390,4597.0,4600,9.0,9.0,9,9,1.0,3.0,0.0,0,negative,negative,invariant,invariant
okhttp,bbfdfac0064f5fd601e40f4f78d28f823698ccb2d51fd3ba6abcf3790bc0269fe108910848d234b0,4148,bbfdfac0064f5fd601e40f4f78d28f823698ccb2,d51fd3ba6abcf3790bc0269fe108910848d234b0,389.0,389,4599.0,4599,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
