project,review_number,pull_request_number,commit,parent,before_total_density_high_level_smells,after_total_density_high_level_smells,before_total_density_low_level_smells,after_total_density_low_level_smells,before_total_diversity_high_level_smells,after_total_diversity_high_level_smells,before_total_diversity_low_level_smells,after_total_diversity_low_level_smells,diff_density_high_level_smells,diff_density_low_level_smells,diff_diversity_high_level_smells,diff_diversity_low_level_smells,impact_on_density_high_level_smells,impact_on_density_low_level_smells,impact_on_diversity_high_level_smells,impact_on_diversity_low_level_smells
RxJava,c15dc5c60aca057db17aec50c71cfa6f0be899b2e0ef8e6824cdffb0007ac312d81767f061828d21,114,c15dc5c60aca057db17aec50c71cfa6f0be899b2,e0ef8e6824cdffb0007ac312d81767f061828d21,145.0,145.0,757.0,757.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,619228cd2a8656f7fef021a4f364011b7ef6a564c15dc5c60aca057db17aec50c71cfa6f0be899b2,114,619228cd2a8656f7fef021a4f364011b7ef6a564,c15dc5c60aca057db17aec50c71cfa6f0be899b2,145.0,146.0,757.0,757.0,8.0,8.0,6,6,1.0,0.0,0.0,0,negative,invariant,invariant,invariant
RxJava,1726efeb346e5635a473b7ddf8e3aadcb8a4c5f3619228cd2a8656f7fef021a4f364011b7ef6a564,114,1726efeb346e5635a473b7ddf8e3aadcb8a4c5f3,619228cd2a8656f7fef021a4f364011b7ef6a564,146.0,146.0,757.0,757.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,d68f1b132e5688bfeeed4bb656a0b52aa300dc89778b3e79bc65eca49801616f39ea2142d93982c9,115,d68f1b132e5688bfeeed4bb656a0b52aa300dc89,778b3e79bc65eca49801616f39ea2142d93982c9,156.0,156.0,770.0,770.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,5d6346e0299eefeac6b55d371a2ffb4b550203e85b6138d1054221e1000090d84a1b6c20bf0aa4e5,116,5d6346e0299eefeac6b55d371a2ffb4b550203e8,5b6138d1054221e1000090d84a1b6c20bf0aa4e5,156.0,122.0,770.0,715.0,8.0,8.0,6,6,-34.0,-55.0,0.0,0,positive,positive,invariant,invariant
RxJava,e6d30871dd89bdfb7ab60dd115beb29b072833905d6346e0299eefeac6b55d371a2ffb4b550203e8,116,e6d30871dd89bdfb7ab60dd115beb29b07283390,5d6346e0299eefeac6b55d371a2ffb4b550203e8,122.0,122.0,715.0,715.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,ca9d4822dd50704f78978813da2408de0de67d2ee6d30871dd89bdfb7ab60dd115beb29b07283390,116,ca9d4822dd50704f78978813da2408de0de67d2e,e6d30871dd89bdfb7ab60dd115beb29b07283390,122.0,125.0,715.0,743.0,8.0,8.0,6,6,3.0,28.0,0.0,0,negative,negative,invariant,invariant
RxJava,a1a146930b3c5e63672a7134ca726d22c992ce52ca9d4822dd50704f78978813da2408de0de67d2e,116,a1a146930b3c5e63672a7134ca726d22c992ce52,ca9d4822dd50704f78978813da2408de0de67d2e,125.0,125.0,743.0,743.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,e38ca1d2bc79543fb78a7ecb1ecafff5a3129452a1a146930b3c5e63672a7134ca726d22c992ce52,116,e38ca1d2bc79543fb78a7ecb1ecafff5a3129452,a1a146930b3c5e63672a7134ca726d22c992ce52,125.0,125.0,743.0,743.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,3396f5ae19557d77fe558cd10482c41961516ceae38ca1d2bc79543fb78a7ecb1ecafff5a3129452,116,3396f5ae19557d77fe558cd10482c41961516cea,e38ca1d2bc79543fb78a7ecb1ecafff5a3129452,125.0,123.0,743.0,743.0,8.0,8.0,6,6,-2.0,0.0,0.0,0,positive,invariant,invariant,invariant
