design_change,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
True,5.0,432.0,54.0,458.0,31,1,3,2,employee,4,1089,35.12903225806452,2207,0.2903225806451613,16
True,8.0,555.0,509.0,9518.0,2,1,0,1,employee,0,25,12.5,0,3.5,7
False,1.0,19.0,12.0,100.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,3.0,184.0,115.0,1575.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
False,1.0,76.0,33.0,386.0,1,1,0,0,employee,0,9,9.0,0,0.0,3
False,3.0,255.0,42.0,537.0,4,1,1,1,employee,0,27,6.75,0,0.0,1
False,1.0,21.0,233.0,4546.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
False,1.0,1.0,65.0,722.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
True,3.0,247.0,260.0,4818.0,2,1,0,1,employee,0,14,7.0,0,3.5,7
False,2.0,39.0,236.0,4586.0,1,1,0,0,employee,0,9,9.0,0,0.0,6
True,1.0,60.0,21.0,414.0,2,1,0,1,employee,0,12,6.0,0,3.0,6
True,40.0,3103.0,1650.0,30997.0,10,2,0,2,employee,0,154,15.4,0,2.2,24
True,9.0,535.0,70.0,662.0,5,2,1,1,employee,0,136,27.2,0,1.0,2
True,1.0,22.0,8.0,144.0,2,1,0,1,employee,0,11,5.5,0,1.0,2
True,4.0,534.0,292.0,5127.0,5,1,1,1,employee,0,52,10.4,0,0.4,3
False,3.0,230.0,276.0,5243.0,5,1,0,2,employee,0,38,7.6,0,1.6,9
True,210.0,24448.0,1648.0,22157.0,3,1,0,1,temporary,0,53,17.666666666666668,0,0.0,0
True,475.0,48296.0,4591.0,66387.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
True,6.0,823.0,292.0,5153.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
True,5.0,155.0,305.0,5568.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
False,2.0,58.0,31.0,565.0,0,0,0,0,employee,0,0,0,0,0,0
True,3.0,117.0,24.0,374.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
False,1.0,16.0,18.0,337.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
False,2.0,35.0,306.0,5699.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
False,1.0,20.0,1.0,20.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
False,2.0,56.0,19.0,276.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
False,3.0,98.0,25.0,266.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
True,16.0,2340.0,292.0,5450.0,7,1,1,2,employee,2,225,32.142857142857146,1579,0.42857142857142855,4
True,6.0,364.0,269.0,5333.0,7,1,2,1,employee,1,172,24.571428571428573,410,0.0,4
False,3.0,26.0,265.0,5050.0,1,1,0,0,employee,0,8,8.0,0,0.0,4
True,3.0,294.0,262.0,5116.0,2,1,0,1,employee,0,18,9.0,0,0.5,1
True,2.0,125.0,269.0,5270.0,2,1,0,1,employee,0,26,13.0,0,0.0,0
True,2.0,271.0,30.0,483.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
False,2.0,124.0,331.0,6353.0,5,1,0,2,employee,0,28,5.6,0,0.0,1
False,2.0,40.0,285.0,5337.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,1.0,426.0,69.0,520.0,2,1,0,1,employee,0,15,7.5,0,0.0,3
