design_change,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
True,9.0,590.0,307.0,2856.0,4,0,1,2,employee,0,30,7.5,0,2.0,20
False,2.0,14.0,69.0,415.0,0,0,0,0,employee,0,0,0,0,0,0
False,19.0,309.0,435.0,3076.0,11,0,2,3,employee,0,319,29.0,0,0.09090909090909091,2
False,1.0,5.0,10.0,113.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
True,6.0,100.0,66.0,571.0,3,0,1,2,employee,3,34,11.333333333333334,102,0.6666666666666666,4
False,2.0,6.0,40.0,297.0,1,0,1,0,employee,0,7,7.0,0,0.0,0
True,2.0,36.0,47.0,278.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
False,8.0,226.0,122.0,1150.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
True,33.0,1192.0,1520.0,10755.0,4,0,1,1,employee,0,63,15.75,0,6.5,48
True,15.0,163.0,1265.0,6496.0,1,0,1,0,employee,0,8,8.0,0,0.0,0
False,1.0,10.0,9.0,102.0,2,0,0,2,employee,0,5,2.5,0,0.0,0
True,8.0,527.0,272.0,1987.0,15,0,1,3,employee,0,207,13.8,0,6.6,103
False,2.0,112.0,101.0,994.0,5,0,1,2,employee,0,96,19.2,0,10.8,55
False,6.0,181.0,469.0,3330.0,3,0,1,1,employee,0,22,7.333333333333333,0,0.6666666666666666,3
False,3.0,126.0,29.0,345.0,1,0,1,0,employee,0,5,5.0,0,0.0,0
True,4.0,528.0,69.0,725.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
False,2.0,114.0,102.0,1256.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
True,10.0,145.0,294.0,2636.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
False,2.0,78.0,104.0,1809.0,3,0,2,0,employee,0,18,6.0,0,0.0,0
False,6.0,37.0,105.0,1196.0,2,0,1,1,employee,0,7,3.5,0,0.0,0
